ID;text;group
366;Delaunay triangulation geometrical dual Voronoi tessellation both constructions derived from natural neighbor order. Aurenhammer, 1991, Voronoi Diagrams Survey Fundamental Geometric Data Structure: Computing Surveys, 23(3), 345-405. Okabe, Boots, Sugihara, 1992, Spatial tessellations concepts applications Voronoi diagrams: Wiley Sons, York, ISBN 93430 532p. Watson, D.F., 1981, Computing n-dimensional Delaunay tessellation with application Voronoi polytopes: Computer 24(2), 167-172.} Watson, D.F., 1985, Natural neighbour sorting: Australian Computer 17(4), 189-193.;1
806;good summary been posted (thanks), wanted another comment. remeber reading comment that General Dynamics tied into this, connection with their proposal early manned landing. Sorry don\'t rember where heard this, I\'m fairly sure somewhere reputable. Anyone else know anything this angle? Hrumph. They didn\'t send _me_ anything;2
1485;Resolution guarantees humanitarian will into Irag during Gulf War. this over? getting they still trying smoke Saddam? this Middle East? talking religious here? ranting?';3
805;current mining regulations fees were 1800\'s! What so-called eco-freaks want simply bring those fees line with current economic reality. Currently, mining companies access minerals public lands ridiculously prices something like $50! mining lobby decades managed block reform these outdated fees. fact, latest attempt reform them again blocked President Clinton compromised taking mining reforms \'94 budget, plans draft separate legislation fight that battle. want discuss this further, suggest take this talk.environment.';2
1953;fact, direct your proper target ingoring NASA altogether. rocket commercial launch vechicle Conestoga flying COMET payload. NASA simply primary customer. believe SDIO small payload well. advertising space sold owners rocket, whatever they darn well please with addition, these anonymous observers reason startled. deal made Space News least twice. think only fair find that before everyone starts having hissy fit. fact that they bothered conditional tense suggests that been approved.;2
473;Because that would contradict your religious beliefs- therefore, feel more comfortable simply accusing sincerity, will have critically examine your religious beliefs.;3
1822;'Has anybody made converter from irit\'s .irt .dat format .pov format Thanks!;1
476;Everyone looking some software called SHADOW know simple raytracer used visualization synchrotron beam lines. have version program here ,but unfortunately don\'t have documentation anyone knows where some docs, maybe newer version program even another program that does same sort thing would love hear from you. think SHADOW written Cerrina? Anyone ideas?';1
997;personal highly subjective opinion that freedom good thing. However, when here people assert that only true freedom following words this that Messiah, realise that people don\'t even agree meaning word. What does mean that word represents objective value when word objective meaning?';0
975;'How hard easy would have combo mission such solar sail outer planets, once near orbit more normal means.. Seems that everyone talks about using system system only mission, have more than propulsion system? miss something.. committee? Michael Adams, nsmca@acad3.alaska.edu I\'m high, just jacked;2
212;'(sci.space readers skip first paragraph) Yesterday, response Henry Spencer\'s question about temperature blackbody interstellar space, said Dust grains acts blackbodies, they\'re 40-150 Well, dead wrong. local interstellar dust expert, Bruce Draine, informed that dust grains _aren\'t_ good radiators which they warm- actually, ambient radiation field from distant stars bring true blackbody only Kelvin. Sorry, Henry, anyone else misled. Obviously, time take another class other news, Alan Stern Southwest Research Institute gave talk Pluto-Charon binary system yesterday. gave brief overview currently-accepted system parameters (volume ratio about 8:1, mass ratio about 15:1 plus lots more...) then gave thoughts formation Pluto-Charon. idea that there were lots lots small planetesimals outer solar system, with masses distributed power some kind- over time, planetesimals accreted into larger bodies. Most scattered solar system close encounters with Jupiter Saturn, many accreted into giants, especially Uranus Neptune. large planetesimal captured Neptune call Triton [captured how? Perhaps collision with smaller, already-existing Neptunian moon, perhaps very close passage through Neptune\'s atmosphere mondo aerobraking!]. notes that recently discovered Kuiper Belt objects, 1992 1993 plus Chiron Pholus, about same mass, identifies this group one-accretion-down from larger bodies Triton Pluto/Charon. Pluto/Charon, thinks, formed when impacting body proto-Pluto, knocking some material into ring around Pluto which later accreted Charon- similar ideas about formation Earth\'s moon. There good evidence from spectra that surfaces Pluto Charon very different (Pluto methane frost, Charon doesn\'t), which used evidence impact theory. believes that there around 1000 Pluto-to-Chiron-sized objects remaining relatively stable dynamical zone just outside Neptune\'s orbit, beyond 1992 1993 first members this population found, model. Note that such bodies will very dark, since their surfaces covered with methane frost, will have photolyzed into very dark, long-chain hydrocarbons now. reason that Pluto such high albedo (around 0.5, think) that surface warms JUST enough around perihelion sublimate, when atmosphere freezes again, thirty years later, forms bright, frost. bodies much farther away than going very hard see. hope haven\'t made errors transcription- howling mistake, it\'s undoubtedly mine, his. way, he\'s guns behind Pluto Fast Flyby mission think), said that current plans Titan send probe just about rectilinear trajectory Pluto were speaking loosely time...). He\'d like Proton, which gives slightly smaller velocity costs MUCH less. figures: $500 Million Titan launches (there will separate probes, launched separately), $120 Million Proton launches. told story about Soviets originally offered sell Proton launches Million each, were forced increase their prices order allowed marketplace. I\'m just telling what said. Michael;2
1278;xgif grandfather;1
616;'Having read past about fail-safe mechanisms spacecraft, assumed that Command Loss Timer that sort function. However always find disturbing oxymoron NO-OP command that does something. command changes behavior status spacecraft NO-OP command. course this terminology comes from Propulsion Laboratory which nothing with propulsion.;2
980;cant through author rtrace. site inaccessible upload version somewhere else please?;1
1486;Campion Headquarters, Washington, D.C. April 1993 (Phone: 202/358-1780) Kyle Herring Johnson Space Center, Houston (Phone: 713/483-5111) RELEASE: 93-76 HUBBLE TELESCOPE SERVICING MISSION SCHEDULED ELEVEN DAYS \tThe December flight Endeavour Space Shuttle mission STS-61 service Hubble Space Telescope (HST) been scheduled mission designed accommodate record five spacewalks with capability additional two, needed. \tThe decision schedule five extravehicular activities, EVAs, reached following extensive evaluations underwater training, maneuver times required using Shuttle\'s robot based software simulations actual tasks previous missions. \tBasically what we\'ve done going five EVAs rather than three repackage margin that have capability respond dynamics, unknowns, spacewalks, Mission Director Randy Brinkley said. improves probabilities mission success while providing added flexibility adaptability reacting real-time situations. \tIn laying specific tasks completed each spacewalks, officials have determined that changing gyros, solar arrays Wide Field/Planetary Camera (WF/PC) installing Corrective Optics Space Telescope Axial Replacement (COSTAR) priority objectives during mission. \tWhen looked accomplishing tasks, highest through lowest priority, recognizing that major tasks gyros, solar arrays, WF/PC COSTAR would consume most time aside each spacewalk, five EVAs were deemed appropriate, said Milt Heflin, Lead Flight Director mission. \tWhile five spacewalks will unprecedented, alternating spacewalk teams will alleviate placing more stress crew than previous missions requiring two, three four EVAs. \tWe have paid close attention lessons learned during previous spacewalks factored these into timeline estimates five EVAs, Heflin said. planning Space Shuttle missions, necessary formulate work schedule that represents realistic timeline possible accomplish mission objectives. \tPlanning currently calls least five water tank training sessions that include support from Mission Control Center, called joint integrated simulations, lasting between hours. addition, many stand alone underwater training runs will practice individual tasks each spacewalk. \tVarious refinements specific tasks each spacewalk will made based actual training experience during months prior mission. Also, lessons learned from other spacewalks leading flight will valuable assisting STS-61 crew training techniques. \tEndeavour\'s June flight Discovery\'s July mission both will include spacewalks evaluate some unique tools used mission. evaluations will help better understanding differences between actual weightlessness space ground training water tanks Johnson Space Center, Houston, Marshall Space Flight Center, Huntsville, Ala. \tAlso, inflight spacewalking experiences will assist gaining further insight into time required various tasks expand experience levels among astronaut corps, flight controllers trainers. \tDesigned serviced Space Shuttle crew, Hubble built with grapple fixtures handholds assist capture repair procedures. \tThe telescope launched aboard Discovery April 1990. that time NASA mixed fleet manifest showed first revisit mission 1993 change science instruments make repairs that have become necessary.';2
234;Sherzer Methodology!!!!!!;2
994;have seen articles comp.graphics.research long time. Does it/he work anymore? have seen many conference related postings comp.graphics, hard believe that people have tried post them c.g.research. somebody article comp.graphics.research, then write post here.;1
